Goals,Deaths,Reward,Step 
187,72,-1.000272,18166
188,72,1.097767,18271
188,73,-1.000272,18316
189,73,1.178299,18376
190,73,1.155978,18441
191,73,1.184913,18496
191,74,-1.000272,18566
191,75,-1.000272,18641
192,75,1.11975,18741
192,76,-1.000272,18806
192,77,-1.000272,18871
192,78,-1.000272,18946
193,78,1.134863,19021
194,78,1.192164,19081
195,78,1.195806,19136
196,78,1.137397,19221
196,79,-1.000272,19271
197,79,1.103894,19371
198,79,1.162607,19441
198,80,-1.000272,19501
198,81,-1.000272,19611
199,81,1.101768,19711
200,81,1.176,19776
201,81,1.144655,19846
202,81,1.178299,19906
203,81,1.232286,19951
204,81,1.091179,20091
204,82,-1.000272,20171
205,82,1.212494,20221
206,82,1.370098,20251
207,82,1.228083,20301
207,83,-1.000272,20381
207,84,-1.000272,20436
208,84,1.140573,20511
209,84,1.256138,20551
210,84,1.081695,20676
210,85,-1.000272,20771
211,85,1.14475,20851
212,85,1.121791,20951
212,86,-1.000272,21006
213,86,1.12631,21086
213,87,-1.000272,21146
214,87,1.116007,21236
215,87,1.203809,21286
216,87,1.093186,21396
216,88,-1.000272,21451
217,88,1.163662,21516
218,88,1.116007,21606
219,88,1.131307,21686
220,88,1.183684,21751
221,88,1.293845,21786
222,88,1.269998,21826
223,88,1.140232,21911
224,88,1.192035,21966
225,88,1.124728,22046
226,88,1.155978,22111
227,88,1.100738,22211
228,88,1.112087,22301
229,88,1.09849,22431
229,89,-1.000272,22476
230,89,1.169219,22536
231,89,1.201568,22591
232,89,1.12021,22676
233,89,1.178299,22736
234,89,1.189242,22796
235,89,1.161018,22861
235,90,-1.000272,22936
236,90,1.203809,22986
237,90,1.169219,23046
238,90,1.201568,23101
239,90,1.117375,23186
240,90,1.277505,23226
241,90,1.189242,23286
242,90,1.178299,23346
243,90,1.175166,23406
244,90,1.141701,23491
245,90,1.198321,23551
246,90,1.155978,23616
247,90,1.21975,23666
247,91,-1.000272,23751
248,91,1.17848,23816
248,92,-1.000272,23896
249,92,1.282908,23936
250,92,1.158458,24001
251,92,1.204935,24056
252,92,1.195189,24116
252,93,-1.000272,24166
252,94,-1.000272,24206
252,95,-1.000272,24251
253,95,1.169219,24311
254,95,1.09232,24421
255,95,1.269998,24461
256,95,1.11409,24571
257,95,1.212494,24621
258,95,1.203809,24671
258,96,-1.000272,24731
259,96,1.10282,24831
260,96,1.090637,24941
260,96,0.00395,25007
261,96,1.030978,25327
262,96,1.104991,25422
263,96,1.12964,25517
264,96,1.122843,25617
264,97,-0.98025,25662
265,97,1.106111,25757
265,98,-1.000272,25897
266,98,1.073257,26037
266,99,-1.000272,26157
267,99,1.096815,26262
267,100,-1.000272,26347
267,101,-1.000272,26492
268,101,1.110839,26582
269,101,1.134693,26672
270,101,1.11467,26762
270,102,-1.000272,26842
271,102,1.103894,26942
272,102,1.072191,27082
272,103,-1.000272,27132
272,104,-1.000272,27177
272,105,-1.000272,27247
272,106,-1.000272,27292
272,107,-1.000272,27347
273,107,1.130861,27437
274,107,1.097767,27542
274,108,-1.000272,27597
275,108,1.07167,27737
