Goals,Deaths,Reward,Step 
188,71,-1.000272,19631
189,71,1.07065,19776
190,71,1.136029,19866
191,71,1.090637,19976
191,72,-1.000272,20031
192,72,1.156736,20106
193,72,1.085935,20226
194,72,1.104991,20321
194,73,-1.000272,20371
195,73,1.110659,20481
196,73,1.232286,20526
196,74,-1.000272,20606
197,74,1.055593,20786
197,75,-1.000272,20846
198,75,1.176,20911
199,75,1.192035,20966
200,75,1.204935,21021
201,75,1.09232,21131
202,75,1.083761,21251
203,75,1.061456,21416
204,75,1.178299,21476
205,75,1.124728,21556
206,75,1.158458,21621
207,75,1.151243,21691
208,75,1.127277,21786
209,75,1.068221,21936
210,75,1.178299,21996
210,76,-1.000272,22076
211,76,1.297528,22116
212,76,1.113208,22226
212,77,-0.98025,22291
213,77,1.212058,22346
214,77,1.203809,22396
214,78,-1.000272,22471
214,79,-1.000272,22526
215,79,1.138616,22601
216,79,1.109618,22696
216,80,-0.98025,22781
217,80,1.129598,22861
217,81,-1.000272,22946
217,82,-1.000272,23116
218,82,1.106111,23211
219,82,1.184913,23266
220,82,1.117375,23351
221,82,1.192164,23411
222,82,1.11467,23501
223,82,1.166394,23561
223,83,-0.98025,23656
224,83,1.086684,23771
224,84,-1.000272,23836
224,85,-1.000272,23946
225,85,1.192164,24006
226,85,1.163662,24071
227,85,1.121791,24171
227,86,-1.000272,24256
228,86,1.10282,24356
229,86,1.115904,24461
230,86,1.175166,24521
231,86,1.076064,24656
232,86,1.249728,24696
233,86,1.192035,24751
233,87,-1.000272,24826
234,87,1.181546,24881
235,87,1.113364,24971
235,87,-5.448073E-05,25007
236,87,1.12076,25107
237,87,1.089818,25222
238,87,1.076651,25352
238,88,-1.000272,25422
239,88,1.096815,25527
240,88,1.059969,25697
241,88,1.13211,25787
241,89,-1.000272,25857
242,89,1.116007,25947
242,90,-1.000272,26002
242,91,-1.000272,26037
242,92,-1.000272,26092
242,93,-1.000272,26152
243,93,1.102395,26277
243,94,-0.98025,26532
243,95,-1.000272,26612
244,95,1.062228,26772
245,95,1.062621,26932
245,96,-1.000272,27037
245,97,-0.98025,27097
246,97,1.053491,27287
247,97,1.12631,27367
247,98,-1.000272,27472
248,98,1.146786,27542
248,99,-1.000272,27607
248,100,-1.000272,27662
248,101,-0.98025,27797
248,102,-0.98025,27942
248,103,-1.000272,28042
248,104,-0.98025,28112
249,104,1.104991,28207
250,104,1.112087,28297
250,105,-1.000272,28377
