Goals,Deaths,Reward,Step 
22,204,-1.000054,13281
22,205,-0.9842,13406
22,206,-1.000168,13561
22,207,-1.000272,13566
22,208,-1.000163,13616
22,209,-0.99605,13801
22,210,-1.000109,13841
22,211,-1.000112,13871
23,211,1.192164,13931
23,212,-0.9921,13986
23,213,-1.000272,13991
23,214,-0.98025,14056
23,215,-1.000272,14061
23,216,-1.000112,14106
23,217,-1.000163,14141
23,218,-1.000054,14251
23,219,-0.98025,14376
23,220,-1.000168,14431
23,221,-0.98025,14436
23,222,-1.000272,14441
23,223,-1.000272,14471
23,224,-1.000272,14476
23,225,-1.000224,14561
23,226,-1.000272,14626
23,227,-0.99605,14691
23,228,-1.000224,14801
24,228,1.134863,14876
24,229,-1.000272,14881
24,230,-1.000168,14886
24,231,-1.000272,14941
24,232,-1.000272,15021
24,233,-1.000272,15091
24,234,-1,15126
24,235,-0.98025,15191
24,236,-1,15256
24,237,-1,15296
24,238,-1.000054,15376
24,239,-0.9921,15486
24,241,-1.9842,15546
24,242,-1.000163,15586
24,243,-1.000272,15591
24,244,-1.000272,15596
24,245,-1.000272,15601
24,246,-1.000272,15701
24,247,-1.00028,15706
24,248,-1.000109,15811
24,249,-1.000168,15866
24,250,-0.98025,15871
24,251,-1.000272,15876
24,252,-1,15906
24,253,-1.000112,15946
24,254,-1.000272,16111
24,255,-1.000272,16176
24,256,-1.00028,16181
24,257,-1.00028,16246
24,258,-1.000272,16296
24,259,-0.98025,16301
24,260,-1.000163,16416
24,261,-1.000054,16456
24,262,-1.000054,16506
24,263,-1.000272,16511
24,264,-1,16556
24,265,-1,16696
24,266,-1.000272,16831
24,267,-1.000163,16996
24,268,-1.000109,17046
24,269,-1.000272,17051
24,270,-1.000272,17111
24,271,-1.000163,17166
24,272,-1.000168,17261
24,273,-0.99605,17296
24,274,-1.00028,17361
24,275,-0.98025,17421
24,276,-1.000272,17426
24,277,-0.98025,17496
24,278,-1.000109,17526
24,279,-0.98025,17606
24,280,-1.000218,17721
24,281,-0.98025,17781
24,282,-1.000272,17786
24,283,-1.00028,17791
24,284,-1.000054,17826
24,285,-1.00028,17831
24,286,-1.000272,17836
24,287,-0.98025,17851
24,288,-1.000272,17916
24,289,-1.000272,18036
24,290,-1.000109,18096
24,291,-1.000218,18221
24,292,-1.000109,18301
24,293,-0.98025,18441
24,294,-0.9842,18556
24,295,-1.000163,18606
24,296,-1.000112,18736
24,297,-1.000272,18801
24,298,-1.000272,18811
24,299,-1.000272,18816
24,300,-1.000272,18831
24,301,-1.000272,18906
24,302,-1,19026
24,303,-1,19146
24,304,-1.000054,19186
25,304,1.176,19251
25,305,-1,19351
26,305,1.178299,19411
26,306,-0.98025,19471
26,307,-1.000272,19541
27,307,1.085935,19661
27,308,-1,19786
27,309,-1,19871
