Goals,Deaths,Reward,Step 
17,299,-1,27605
17,300,-1,27650
17,301,-1,27775
17,302,-1,27890
17,303,-1,27945
18,303,1.06135,28110
18,304,-1,28190
18,305,-1,28245
18,306,-1,28310
18,307,-1,28355
18,308,-1,28430
18,309,-1,28510
19,309,1.056818,28690
19,310,-1,28810
19,311,-1,28855
19,312,-1,28915
20,312,1.05814,29090
20,313,-1,29135
20,314,-1,29215
20,315,-1,29275
20,316,-1,29305
20,317,-1,29375
20,318,-1,29435
20,319,-1,29535
20,320,-1,29615
20,321,-1,29715
20,322,-1,29805
21,322,1.058824,29975
21,323,-1,30040
21,324,-1,30070
21,325,-1,30145
21,326,-1,30230
21,327,-1,30380
21,328,-1,30495
21,329,-1,30570
21,330,-1,30630
22,330,1.063291,30790
22,331,-1,30855
22,332,-1,30930
22,333,-1,30990
22,334,-1,31070
22,335,-1,31135
22,336,-1,31195
22,337,-1,31275
22,338,-1,31310
22,339,-1,31370
22,340,-1,31425
22,341,-1,31505
23,341,1.05291,31695
23,342,-1,31750
23,343,-1,31890
23,344,-1,31995
23,345,-1,32110
23,346,-1,32175
23,347,-1,32235
23,348,-1,32325
23,349,-1,32365
23,350,-1,32455
23,351,-1,32500
23,352,-1,32620
23,353,-1,32675
23,354,-1,32735
23,355,-1,32810
23,356,-1,32890
23,357,-1,32940
24,357,1.057804,33115
24,358,-1,33180
24,359,-1,33245
24,360,-1,33350
25,360,1.06993,33495
25,361,-1,33565
25,362,-1,33685
25,363,-1,33815
25,364,-1,33935
25,365,-1,34070
25,366,-1,34190
25,367,-1,34355
25,368,-1,34460
25,369,-1,34525
25,370,-1,34695
25,371,-1,34800
25,372,-1,34865
25,373,-1,34910
25,374,-1,34960
26,374,1.055866,35140
26,375,-1,35220
26,376,-1,35290
26,377,-1,35345
26,378,-1,35420
26,379,-1,35545
26,380,-1,35610
26,381,-1,35710
26,382,-1,35820
26,383,-1,35920
26,384,-1,35980
26,385,-1,36125
26,386,-1,36205
26,387,-1,36265
26,388,-1,36385
26,389,-1,36505
26,390,-1,36600
26,391,-1,36645
26,392,-1,36690
26,393,-1,36805
26,394,-1,36850
26,395,-1,36955
26,396,-1,36995
26,397,-1,37055
26,398,-1,37150
26,399,-1,37240
26,400,-1,37350
26,401,-1,37445
26,402,-1,37530
27,402,1.05618,37710
27,403,-1,37790
27,404,-1,37895
27,405,-1,38030
27,406,-1,38145
27,407,-1,38220
27,408,-1,38280
27,409,-1,38400
27,410,-1,38475
27,411,-1,38595
27,412,-1,38635
27,413,-1,38715
27,414,-1,38785
27,415,-1,38885
27,416,-1,38950
27,417,-1,39030
27,418,-1,39140
27,419,-1,39255
27,420,-1,39335
27,421,-1,39375
27,422,-1,39440
27,423,-1,39480
27,424,-1,39590
27,425,-1,39675
27,426,-1,39730
27,427,-1,39835
27,428,-1,39890
27,429,-1,39995
27,430,-1,40080
27,431,-1,40210
27,432,-1,40285
27,433,-1,40350
27,434,-1,40405
27,435,-1,40460
27,436,-1,40510
27,437,-1,40580
27,438,-1,40660
27,439,-1,40775
27,440,-1,40875
27,441,-1,40930
27,442,-1,40990
27,443,-1,41040
27,444,-1,41120
27,445,-1,41200
27,446,-1,41270
27,447,-1,41315
27,448,-1,41435
27,449,-1,41520
27,450,-1,41590
27,451,-1,41665
27,452,-1,41770
27,453,-1,41850
27,454,-1,41945
27,455,-1,42030
27,456,-1,42120
27,457,-1,42255
27,458,-1,42305
27,459,-1,42445
27,460,-1,42580
27,461,-1,42645
27,462,-1,42710
27,463,-1,42760
27,464,-1,42835
27,465,-1,42890
27,466,-1,42935
27,467,-1,43000
27,468,-1,43135
27,469,-1,43185
27,470,-1,43265
27,471,-1,43330
27,472,-1,43405
27,473,-1,43525
27,474,-1,43575
27,475,-1,43625
27,476,-1,43700
27,477,-1,43785
27,478,-1,43870
27,479,-1,43935
27,480,-1,44000
27,481,-1,44050
27,482,-1,44145
27,483,-1,44300
27,484,-1,44380
27,485,-1,44460
27,486,-1,44510
27,487,-1,44545
27,488,-1,44610
27,489,-1,44780
27,490,-1,44860
27,491,-1,44940
27,492,-1,45055
27,493,-1,45110
27,494,-1,45155
27,495,-1,45210
27,496,-1,45285
27,497,-1,45465
27,498,-1,45550
27,499,-1,45620
27,500,-1,45675
27,501,-1,45735
27,502,-1,45815
27,503,-1,45950
27,504,-1,46085
27,505,-1,46235
27,506,-1,46340
27,507,-1,46445
27,508,-1,46500
27,509,-1,46560
27,510,-1,46620
27,511,-1,46750
27,512,-1,46815
27,513,-1,46860
27,514,-1,46950
27,515,-1,47035
27,516,-1,47155
27,517,-1,47255
27,518,-1,47315
27,519,-1,47375
27,520,-1,47525
27,521,-1,47595
27,522,-1,47665
27,523,-1,47740
27,524,-1,47800
27,525,-1,47840
27,526,-1,47910
27,527,-1,48015
27,528,-1,48065
27,529,-1,48170
27,530,-1,48250
27,531,-1,48290
27,532,-1,48345
27,533,-1,48410
27,534,-1,48495
27,535,-1,48605
27,536,-1,48715
27,537,-1,48835
27,538,-1,48920
27,539,-1,48980
27,540,-1,49165
27,541,-1,49225
28,541,1.048544,49435
28,542,-1,49475
28,543,-1,49530
28,544,-1,49615
28,545,-1,49685
28,546,-1,49725
28,547,-1,49810
28,548,-1,49870
28,549,-1,49980
29,549,1.064103,50140
29,550,-1,50220
29,551,-1,50280
30,551,1.072993,50420
30,552,-1,50490
30,553,-1,50575
30,554,-1,50615
30,555,-1,50690
31,555,1.060976,50855
31,556,-1,50990
31,557,-1,51085
31,558,-1,51150
31,559,-1,51265
31,560,-1,51325
31,561,-1,51390
31,562,-1,51440
31,563,-1,51540
31,564,-1,51590
31,565,-1,51665
31,566,-1,51720
31,567,-1,51785
31,568,-1,51875
31,569,-1,51930
31,570,-1,51990
31,571,-1,52070
31,572,-1,52160
32,572,1.050761,52360
32,573,-1,52425
32,574,-1,52500
32,575,-1,52585
32,576,-1,52655
32,577,-1,52720
32,578,-1,52780
32,579,-1,52865
32,580,-1,52935
32,581,-1,52990
32,582,-1,53065
32,583,-1,53225
32,584,-1,53305
32,585,-1,53345
32,586,-1,53435
32,587,-1,53550
32,588,-1,53625
32,589,-1,53680
32,590,-1,53750
32,591,-1,53810
32,592,-1,53875
32,593,-1,53940
32,594,-1,54050
32,595,-1,54140
32,596,-1,54250
32,597,-1,54375
32,598,-1,54450
32,599,-1,54675
32,600,-1,54810
32,601,-1,54885
32,602,-1,54960
32,603,-1,55055
